iter	Passed	Remaining
650	4443	2382
651	4449	2374
652	4455	2367
653	4460	2360
654	4466	2352
655	4473	2346
656	4479	2338
657	4486	2331
658	4493	2325
659	4499	2317
660	4506	2311
661	4512	2303
662	4519	2297
663	4525	2290
664	4531	2282
665	4539	2276
666	4547	2270
667	4554	2263
668	4559	2256
669	4566	2248
670	4573	2242
671	4578	2234
672	4585	2228
673	4592	2221
674	4598	2213
675	4604	2206
676	4610	2199
677	4616	2192
678	4622	2185
679	4629	2178
680	4635	2171
681	4641	2164
682	4647	2156
683	4653	2149
684	4659	2142
685	4665	2135
686	4671	2128
687	4676	2120
688	4683	2114
689	4689	2106
690	4696	2100
691	4703	2093
692	4710	2086
693	4717	2080
694	4724	2073
695	4731	2066
696	4738	2059
697	4745	2053
698	4755	2047
699	4761	2040
700	4768	2034
701	4774	2026
702	4781	2019
703	4786	2012
704	4792	2005
705	4798	1998
706	4805	1991
707	4811	1984
708	4818	1977
709	4824	1970
710	4831	1963
711	4836	1956
712	4843	1949
713	4849	1942
714	4855	1935
715	4861	1928
716	4867	1921
717	4872	1913
718	4879	1906
719	4884	1899
720	4892	1893
721	4899	1886
722	4907	1880
723	4913	1873
724	4920	1866
725	4926	1859
726	4933	1852
727	4939	1845
728	4945	1838
729	4951	1831
730	4956	1824
731	4963	1817
732	4969	1810
733	4975	1803
734	4982	1796
735	4988	1789
736	4994	1782
737	5000	1775
738	5007	1768
739	5013	1761
740	5019	1754
741	5026	1747
742	5032	1740
743	5037	1733
744	5044	1726
745	5051	1719
746	5057	1712
747	5065	1706
748	5071	1699
749	5077	1692
750	5084	1685
751	5089	1678
752	5095	1671
753	5101	1664
754	5108	1657
755	5114	1650
756	5120	1643
757	5126	1636
758	5132	1629
759	5139	1622
760	5145	1615
761	5151	1608
762	5158	1602
763	5163	1595
764	5169	1587
765	5176	1581
766	5182	1574
767	5188	1567
768	5194	1560
769	5199	1553
770	5205	1546
771	5212	1539
772	5217	1532
773	5225	1525
774	5232	1518
775	5237	1511
776	5244	1505
777	5251	1498
778	5259	1492
779	5265	1485
780	5271	1478
781	5278	1471
782	5283	1464
783	5290	1457
784	5296	1450
785	5302	1443
786	5308	1436
787	5314	1429
788	5320	1422
789	5326	1415
790	5331	1408
791	5338	1402
792	5343	1394
793	5350	1388
794	5356	1381
795	5362	1374
796	5368	1367
797	5375	1360
798	5382	1353
799	5388	1347
800	5394	1340
801	5399	1333
802	5406	1326
803	5412	1319
804	5417	1312
805	5424	1305
806	5430	1298
807	5436	1291
808	5442	1284
809	5448	1277
810	5454	1271
811	5460	1264
812	5466	1257
813	5472	1250
814	5478	1243
815	5484	1236
816	5490	1229
817	5496	1222
818	5502	1216
819	5508	1209
820	5513	1202
821	5519	1195
822	5525	1188
823	5531	1181
824	5538	1174
825	5543	1167
826	5549	1160
827	5555	1154
828	5561	1147
829	5567	1140
830	5573	1133
831	5579	1126
832	5586	1119
833	5591	1112
834	5597	1106
835	5603	1099
836	5609	1092
837	5615	1085
838	5622	1078
839	5627	1071
840	5634	1065
841	5640	1058
842	5645	1051
843	5652	1044
844	5658	1037
845	5664	1031
846	5670	1024
847	5676	1017
848	5683	1010
849	5689	1003
850	5694	997
851	5700	990
852	5707	983
853	5713	976
854	5719	970
855	5725	963
856	5731	956
857	5737	949
858	5743	942
859	5749	935
860	5755	929
861	5761	922
862	5766	915
863	5772	908
864	5780	902
865	5787	895
866	5793	888
867	5799	882
868	5806	875
869	5813	868
870	5818	861
871	5824	854
872	5831	848
873	5837	841
874	5843	834
875	5850	828
876	5856	821
877	5864	814
878	5870	808
879	5875	801
880	5881	794
881	5887	787
882	5892	780
883	5899	774
884	5905	767
885	5912	760
886	5919	754
887	5925	747
888	5931	740
889	5937	733
890	5943	727
891	5950	720
892	5955	713
893	5962	706
894	5967	700
895	5973	693
896	5979	686
897	5985	679
898	5990	673
899	5996	666
900	6001	659
901	6007	652
902	6014	646
903	6020	639
904	6026	632
905	6031	625
906	6038	619
907	6044	612
908	6050	605
909	6057	599
910	6064	592
911	6071	585
912	6079	579
913	6086	572
914	6094	566
915	6101	559
916	6109	552
917	6115	546
918	6122	539
919	6128	532
920	6134	526
921	6142	519
922	6149	513
923	6156	506
924	6163	499
925	6170	493
926	6177	486
927	6184	479
928	6191	473
929	6197	466
930	6203	459
931	6210	453
932	6215	446
933	6221	439
934	6227	432
935	6233	426
936	6239	419
937	6245	412
938	6251	406
939	6257	399
940	6263	392
941	6269	386
942	6275	379
943	6281	372
944	6286	365
945	6293	359
946	6298	352
947	6304	345
948	6311	339
949	6317	332
950	6323	325
951	6329	319
952	6335	312
953	6341	305
954	6347	299
955	6353	292
956	6360	285
957	6366	279
958	6373	272
959	6378	265
960	6384	259
961	6390	252
962	6395	245
963	6402	239
964	6407	232
965	6412	225
966	6419	219
967	6425	212
968	6430	205
969	6437	199
970	6442	192
971	6449	185
972	6455	179
973	6461	172
974	6467	165
975	6473	159
976	6479	152
977	6485	145
978	6491	139
979	6497	132
980	6503	125
981	6510	119
982	6516	112
983	6522	106
984	6528	99
985	6534	92
986	6540	86
987	6546	79
988	6553	72
989	6559	66
990	6565	59
991	6570	52
992	6576	46
993	6583	39
994	6589	33
995	6597	26
996	6604	19
997	6610	13
998	6617	6
999	6623	0
